"pasta","wav","ingles","traducao_pt","category","emotion","urgency","token_type","assembly_mode","radio_style","speaker_role","pause_profile","intensity"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","4_op_prefix_bad_luck-b.wav","you've gone out of track limits, they'll delete this lap and the one after it","Você passou do limite, essa e a seguinte vão ser anuladas","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","4_op_prefix_bad_luck-c.wav","you've gone out of track limits, they'll delete this lap and the one after it","Você passou do limite, essa e a seguinte vão ser anuladas","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","1_op__prefix_oh_dear-a.wav","track limits, come on, concentrate, they're gonna delete the next lap, too","Limite de pista, concentra aí, a próxima volta também vai ser anulada","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","1_op__prefix_oh_dear-b.wav","track limits, come on, concentrate, they're gonna delete the next lap, too","Limite de pista, concentra aí, a próxima volta também vai ser anulada","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual_next_invalid","1_op__prefix_oh_dear-c.wav","track limits, come on, concentrate, they're gonna delete the next lap, too","Limite de pista, concentra aí, a próxima volta também vai ser anulada","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","11-a.wav","watch those track limits, they'll delete this lap","Fica esperto com esses limites, essa volta já era","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","11-b.wav","watch those track limits, they'll delete this lap","Fica esperto com esses limites, essa volta já era","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","11-c.wav","watch those track limits, they'll delete this lap","Fica esperto com esses limites, essa volta já era","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","10-a.wav","track limits, this lap will be deleted","Limite de pista, essa volta foi anulada","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","10-b.wav","track limits, this lap will be deleted","Limite de pista, essa volta foi anulada","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","10-c.wav","track limits, this lap will be deleted","Limite de pista, essa volta foi anulada","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","3-a.wav","you've gone outside of track limits there","Você passou dos limites da pista ali","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","3-b.wav","you've gone outside of track limits there","Você passou dos limites da pista ali","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","3-c.wav","you've gone outside of track limits there","Você passou dos limites da pista ali","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","15_op_prefix_oh_dear-a.wav","come on, keep it between the lines, they'll delete this lap","Vamos lá, mantém dentro das linhas, essa volta vai ser anulada","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","15_op_prefix_oh_dear-b.wav","come on, keep it between the lines, they'll delete this lap","Vamos lá, mantém dentro das linhas, essa volta vai ser anulada","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","15_op_prefix_oh_dear-c.wav","come on, keep it between the lines, they'll delete this lap","Vamos lá, mantém dentro das linhas, essa volta vai ser anulada","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","8-a.wav","this lap won't count, track limits","Essa volta não conta, limite de pista","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","8-b.wav","this lap won't count, track limits","Essa volta não conta, limite de pista","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","8-c.wav","this lap won't count, track limits","Essa volta não conta, limite de pista","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","24-a.wav","this lap will be invalidated, watch the track limits","Essa volta foi invalidada, cuidado com os limites","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","24-b.wav","this lap will be invalidated, watch the track limits","Essa volta foi invalidada, cuidado com os limites","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","24-c.wav","this lap will be invalidated, watch the track limits","Essa volta foi invalidada, cuidado com os limites","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","5-a.wav","track limits, come on, keep it between the white lines","Limite de pista, foco, fica entre as linhas","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","5-b.wav","track limits, come on, keep it between the white lines","Limite de pista, foco, fica entre as linhas","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","5-c.wav","track limits, come on, keep it between the white lines","Limite de pista, foco, fica entre as linhas","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","12-a.wav","this lap won't count, you've cut the track","Essa volta não valeu, você cortou a pista","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","12-b.wav","this lap won't count, you've cut the track","Essa volta não valeu, você cortou a pista","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","12-c.wav","this lap won't count, you've cut the track","Essa volta não valeu, você cortou a pista","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","4-a.wav","watch those track limits","Atenção aos limites da pista","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","4-b.wav","watch those track limits","Atenção aos limites da pista","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","4-c.wav","watch those track limits","Atenção aos limites da pista","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","22-a.wav","track limits, the lap won't count","Limite de pista, essa volta não vale","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","22-b.wav","track limits, the lap won't count","Limite de pista, essa volta não vale","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","22-c.wav","track limits, the lap won't count","Limite de pista, essa volta não vale","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","19_op_prefix_oh_dear-a.wav","come on, man, watch them track limits, this lap won't count","Mano, fica atento aos limites, essa volta não valeu","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","19_op_prefix_oh_dear-b.wav","come on, man, watch them track limits, this lap won't count","Mano, fica atento aos limites, essa volta não valeu","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","19_op_prefix_oh_dear-c.wav","come on, man, watch them track limits, this lap won't count","Mano, fica atento aos limites, essa volta não valeu","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","9_op_prefix_oh_dear-a.wav","track limits, come on, this lap will be deleted","Limite de pista, se liga, essa volta vai ser anulada","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","9_op_prefix_oh_dear-b.wav","track limits, come on, this lap will be deleted","Limite de pista, se liga, essa volta vai ser anulada","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","9_op_prefix_oh_dear-c.wav","track limits, come on, this lap will be deleted","Limite de pista, se liga, essa volta vai ser anulada","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","17-a.wav","this lap won't count, watch those track limits","Essa volta não conta, atenção aos limites da pista","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","17-b.wav","this lap won't count, watch those track limits","Essa volta não conta, atenção aos limites da pista","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","17-c.wav","this lap won't count, watch those track limits","Essa volta não conta, atenção aos limites da pista","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","1-a.wav","watch those track limits","Atenção aos limites da pista","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","1-b.wav","watch those track limits","Atenção aos limites da pista","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","1-c.wav","watch those track limits","Atenção aos limites da pista","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","14-a.wav","this lap will be deleted, watch the track limits","Essa volta será anulada, presta atenção nos limites","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","14-b.wav","this lap will be deleted, watch the track limits","Essa volta será anulada, presta atenção nos limites","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","14-c.wav","this lap will be deleted, watch the track limits","Essa volta será anulada, presta atenção nos limites","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","18-a.wav","this lap will be deleted, watch the track limits","Essa volta será anulada, presta atenção nos limites","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","18-b.wav","this lap will be deleted, watch the track limits","Essa volta será anulada, presta atenção nos limites","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","18-c.wav","this lap will be deleted, watch the track limits","Essa volta será anulada, presta atenção nos limites","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","13-a.wav","the stewards have warned us for cutting the track, they'll delete this lap","Os comissários alertaram sobre corte de pista, essa volta vai ser anulada","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","13-b.wav","the stewards have warned us for cutting the track, they'll delete this lap","Os comissários alertaram sobre corte de pista, essa volta vai ser anulada","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","13-c.wav","the stewards have warned us for cutting the track, they'll delete this lap","Os comissários alertaram sobre corte de pista, essa volta vai ser anulada","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","21-a.wav","they'll delete this lap, you've cut the track","Eles vão anular essa volta, você cortou a pista","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","21-b.wav","they'll delete this lap, you've cut the track","Eles vão anular essa volta, você cortou a pista","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","21-c.wav","they'll delete this lap, you've cut the track","Eles vão anular essa volta, você cortou a pista","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","16-a.wav","come on, keep it between the white lines, this lap won't count","Concentra, mantém entre as linhas, essa volta não conta","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","16-b.wav","come on, keep it between the white lines, this lap won't count","Concentra, mantém entre as linhas, essa volta não conta","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","16-c.wav","come on, keep it between the white lines, this lap won't count","Concentra, mantém entre as linhas, essa volta não conta","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","7-a.wav","track limits, come on, this lap won't count","Limite de pista, foco, essa volta não valeu","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","7-b.wav","track limits, come on, this lap won't count","Limite de pista, foco, essa volta não valeu","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","7-c.wav","track limits, come on, this lap won't count","Limite de pista, foco, essa volta não valeu","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","2-a.wav","keep it between the white lines","Fica entre as linhas","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","2-b.wav","keep it between the white lines","Fica entre as linhas","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","2-c.wav","keep it between the white lines","Fica entre as linhas","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","23-a.wav","come on, watch those track limits, this lap will be deleted","Se liga nos limites, essa volta vai ser anulada","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","23-b.wav","come on, watch those track limits, this lap will be deleted","Se liga nos limites, essa volta vai ser anulada","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","23-c.wav","come on, watch those track limits, this lap will be deleted","Se liga nos limites, essa volta vai ser anulada","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","20-a.wav","track limits, this lap will be deleted","Limite de pista, essa volta foi anulada","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","20-b.wav","track limits, this lap will be deleted","Limite de pista, essa volta foi anulada","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","20-c.wav","track limits, this lap will be deleted","Limite de pista, essa volta foi anulada","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","6-a.wav","track limits, they'll invalidate this lap","Limite de pista, essa volta foi invalidada","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","6-b.wav","track limits, they'll invalidate this lap","Limite de pista, essa volta foi invalidada","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_prac_or_qual","6-c.wav","track limits, they'll invalidate this lap","Limite de pista, essa volta foi invalidada","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/car_to_car_collision","5-a.wav","be careful","Toma cuidado","penalties","neutral","medium","fragment","procedural","standard","race_engineer","micro_pause","0.5"
"voice/penalties/car_to_car_collision","5-b.wav","be careful","Toma cuidado","penalties","neutral","medium","fragment","procedural","standard","race_engineer","micro_pause","0.5"
"voice/penalties/car_to_car_collision","5-c.wav","be careful","Toma cuidado","penalties","neutral","medium","fragment","procedural","standard","race_engineer","micro_pause","0.5"
"voice/penalties/car_to_car_collision","1-a.wav","take care please","Toma cuidado, por favor","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/car_to_car_collision","1-b.wav","take care please","Toma cuidado, por favor","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/car_to_car_collision","1-c.wav","take care please","Toma cuidado, por favor","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/car_to_car_collision","8-a.wav","be careful please","Tenha cuidado, por favor","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/car_to_car_collision","8-b.wav","be careful please","Tenha cuidado, por favor","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/car_to_car_collision","8-c.wav","be careful please","Tenha cuidado, por favor","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/car_to_car_collision","6-a.wav","come on, wake up","Acorda aí, pô!","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/car_to_car_collision","6-b.wav","come on, wake up","Acorda aí, pô!","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/car_to_car_collision","6-c.wav","come on, wake up","Acorda aí, pô!","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/car_to_car_collision","3-a.wav","be careful","Toma cuidado","penalties","neutral","medium","fragment","procedural","standard","race_engineer","micro_pause","0.5"
"voice/penalties/car_to_car_collision","3-b.wav","be careful","Toma cuidado","penalties","neutral","medium","fragment","procedural","standard","race_engineer","micro_pause","0.5"
"voice/penalties/car_to_car_collision","3-c.wav","be careful","Toma cuidado","penalties","neutral","medium","fragment","procedural","standard","race_engineer","micro_pause","0.5"
"voice/penalties/car_to_car_collision","2-a.wav","be careful","Toma cuidado","penalties","neutral","medium","fragment","procedural","standard","race_engineer","micro_pause","0.5"
"voice/penalties/car_to_car_collision","2-b.wav","be careful","Toma cuidado","penalties","neutral","medium","fragment","procedural","standard","race_engineer","micro_pause","0.5"
"voice/penalties/car_to_car_collision","2-c.wav","be careful","Toma cuidado","penalties","neutral","medium","fragment","procedural","standard","race_engineer","micro_pause","0.5"
"voice/penalties/car_to_car_collision","4-a.wav","come on, be careful","Mano, cuidado aí","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/car_to_car_collision","4-b.wav","come on, be careful","Mano, cuidado aí","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/car_to_car_collision","4-c.wav","come on, be careful","Mano, cuidado aí","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/car_to_car_collision","7-a.wav","come on, wake up","Acorda aí, pô!","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/car_to_car_collision","7-b.wav","come on, wake up","Acorda aí, pô!","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/car_to_car_collision","7-c.wav","come on, wake up","Acorda aí, pô!","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_race","20-a.wav","watch the track limits, we'll get a penalty if we don't","Fica atento aos limites da pista, senão vamos levar punição","penalties","warning","medium","full_phrase","static","standard","race_engineer","normal_pause","0.7"
"voice/penalties/cut_track_in_race","20-b.wav","watch the track limits, we'll get a penalty if we don't","Fica atento aos limites da pista, senão vamos levar punição","penalties","warning","medium","full_phrase","static","standard","race_engineer","normal_pause","0.7"
"voice/penalties/cut_track_in_race","20-c.wav","watch the track limits, we'll get a penalty if we don't","Fica atento aos limites da pista, senão vamos levar punição","penalties","warning","medium","full_phrase","static","standard","race_engineer","normal_pause","0.7"
"voice/penalties/cut_track_in_race","16-a.wav","we've been warned about track limits","A gente já foi avisado sobre os limites da pista","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_race","16-b.wav","we've been warned about track limits","A gente já foi avisado sobre os limites da pista","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_race","16-c.wav","we've been warned about track limits","A gente já foi avisado sobre os limites da pista","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_race","22-a.wav","the stewards have warned us about track limits","Os comissários já deram um alerta sobre os limites da pista","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_race","22-b.wav","the stewards have warned us about track limits","Os comissários já deram um alerta sobre os limites da pista","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_race","22-c.wav","the stewards have warned us about track limits","Os comissários já deram um alerta sobre os limites da pista","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_race","1-a.wav","the stewards have warned us for cutting the track, keep it between the white lines","Os comissários nos advertiram por cortar a pista, mantém entre as linhas","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_race","1-b.wav","the stewards have warned us for cutting the track, keep it between the white lines","Os comissários nos advertiram por cortar a pista, mantém entre as linhas","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_race","1-c.wav","the stewards have warned us for cutting the track, keep it between the white lines","Os comissários nos advertiram por cortar a pista, mantém entre as linhas","penalties","neutral","low","full_phrase","static","standard","race_engineer","normal_pause","0.5"
"voice/penalties/cut_track_in_race","17-a.wav","you've gone outside track limits, come on, keep it between the lines","Você passou do limite da pista, pô, fica entre as linhas","penalties","neutral","medium","full_phrase","static","standard","race_engineer","normal_pause","0.5"
